date,open_SO2,sate_SO2,"Bollaram Industrial Area, Hyderabad - TSPCB","Central University, Hyderabad - TSPCB","ECIL Kapra, Hyderabad - TSPCB","ICRISAT Patancheru, Hyderabad - TSPCB","IDA Pashamylaram, Hyderabad - TSPCB","IITH Kandi, Hyderabad - TSPCB"
2021-05-21,14.754583333333336,-0.019999996,4.72,1.89,4.72,7.52,1.68,1.68
2021-05-22,15.820833333333333,0.0800000011999999,5.83,1.88,5.83,8.76,1.1,1.1
2021-05-23,11.57125,-0.25,10.15,5.72,10.15,9.51,2.16,2.16
2021-05-24,10.020416666666666,0.1140000026,13.05,1.51,13.05,7.86,1.71,1.71
2021-05-25,9.462083333333332,-0.0959999988,36.59,4.12,36.59,9.52,1.89,1.89
2021-05-26,8.385833333333334,-0.07,22.03,1.93,22.03,8.92,2.53,2.53
2021-05-27,7.123749999999998,0.200000003,14.44,2.07,14.44,8.33,1.59,1.59
2021-05-28,8.442083333333331,-0.109999999,15.61,1.64,15.61,7.32,1.24,1.24
2021-05-29,7.875,0.0199999986,12.13,1.45,12.13,7.55,0.8,0.8
2021-05-30,8.627500000000001,-0.180000007,13.69,1.13,13.69,7.4,2.73,2.73
2021-05-31,9.9525,0.4559999786000001,14.29,1.3,14.29,7.03,1.62,1.62
2021-06-01,13.423333333333334,-0.1019999977999999,12.13,1.68,12.13,5.69,1.62,1.62
2021-06-02,24.032083333333336,0.0060000046,7.08,1.83,7.08,7.06,1.48,1.48
2021-06-03,20.662916666666664,-0.097999998,6.69,1.71,6.69,7.25,1.3,1.3
2021-06-04,17.67291666666667,-0.0579999955999999,4.58,1.11,4.58,8.8,0.62,0.62
2021-06-05,20.41,0.1000000026,5.01,1.81,5.01,6.4,3.2,3.2
2021-06-06,11.086666666666664,-0.029999999,6.83,1.22,6.83,6.71,2.66,2.66
2021-06-07,9.57125,0.4019999808,7.49,1.21,7.49,6.69,1.98,1.98
2021-06-08,7.485,0.029999999,16.51,1.06,16.51,5.91,1.56,1.56
2021-06-09,5.350833333333333,0.0080000041999999,10.17,0.77,10.17,6.14,1.23,1.23
2021-06-10,4.0216666666666665,-0.004,10.21,0.9,10.21,7.13,1.87,1.87
2021-06-11,4.41125,0.1079999988,14.98,0.89,14.98,7.49,1.6,1.6
2021-06-12,4.377916666666666,0.0279999966,17.84,1.3,17.84,8.06,2.25,2.25
