date,open_NO2,sate_NO2,"JN Stadium, Shillong - Meghalaya PCB","Lumpyngngad, Shillong - Meghalaya PCB"
2021-12-02,16.0975,3785000000000000.0,13.01,13.01
2021-12-03,12.982499999999996,3428974000000000.0,12.96,12.96
2021-12-04,13.279999999999996,3423044000000000.0,11.99,11.99
2021-12-05,15.655833333333332,3275592000000000.0,8.05,8.05
2021-12-06,13.08375,4610140000000000.0,5.65,5.65
2021-12-07,13.591666666666669,2695892180000000.0,5.86,5.86
2021-12-08,15.76625,3371160000000000.0,7.39,7.39
2021-12-09,14.221250000000005,3879560000000000.0,7.33,7.33
2021-12-10,4.012083333333334,3424432000000000.0,16.52,16.52
2021-12-11,10.005833333333332,3962900000000000.0,10.12,10.12
2021-12-12,8.910833333333331,3398560000000000.0,8.76,8.76
2021-12-13,12.51875,2868520000000000.0,14.87,14.87
2021-12-14,14.517083333333334,1977820000000000.0,15.74,15.74
2021-12-15,18.36458333333333,3263614000000000.0,13.12,13.12
2021-12-16,12.895,2364950000000000.0,11.24,11.24
2021-12-17,16.705,3488366000000000.0,12.16,12.16
2021-12-18,11.739166666666664,4283690000000000.0,13.93,13.93
2021-12-19,10.51125,3003170000000000.0,9.82,9.82
2021-12-20,10.834166666666668,3871930000000000.0,18.18,18.18
2021-12-21,13.371250000000002,2800388000000000.0,16.27,16.27
2021-12-22,13.464583333333335,2732582000000000.0,12.15,12.15
2021-12-23,11.954166666666666,1255700000000000.0,14.24,14.24
2021-12-24,19.91875,3124102000000000.0,20.55,20.55
2021-12-25,10.98,3871970000000000.0,17.83,17.83
2021-12-26,10.787083333333332,3720006000000000.0,15.9,15.9
2021-12-27,15.435,3672950000000000.0,21.24,21.24
2021-12-28,14.183749999999998,2832154180000000.0,21.81,21.81
2021-12-29,10.710416666666667,3086242000000000.0,16.67,16.67
2021-12-30,12.983333333333336,3258730000000000.0,20.07,20.07
2021-12-31,14.031666666666665,2490546000000000.0,16.25,16.25
