date,open_SO2,sate_SO2,"Kariavattom, Thiruvananthapuram - Kerala PCB","Plammoodu, Thiruvananthapuram - Kerala PCB"
2021-12-07,4.0625,0.02492568497905236,3.21,9.36
2021-12-08,4.145416666666667,0.0949099792,4.13,9.0
2021-12-09,5.132083333333333,0.0192356526,3.15,9.94
2021-12-10,5.32,-0.242003232,1.13,8.32
2021-12-11,3.9683333333333337,-0.153314948,3.73,8.68
2021-12-12,4.482916666666667,-0.0180232395999999,1.95,6.69
2021-12-13,5.41125,-0.143713295,8.0,7.44
2021-12-14,6.270833333333332,-0.0055270644,1.1,8.8
2021-12-15,8.514999999999999,0.1030189674,0.83,8.32
2021-12-16,8.416666666666666,0.0340991863999999,1.69,8.77
2021-12-17,8.8225,0.0862462112,3.84,7.93
2021-12-18,7.192500000000003,0.134382427,2.64,8.74
2021-12-19,7.344166666666666,0.136537597,1.55,9.62
2021-12-20,8.794583333333332,0.059924007,2.32,9.07
2021-12-21,8.223333333333334,0.1246750854,1.54,9.37
2021-12-22,7.333749999999998,0.139999434,1.51,10.59
2021-12-23,6.769583333333334,-0.0279938176,4.25,8.19
2021-12-24,7.800833333333332,0.0381983663999999,3.86,9.7
2021-12-25,6.619166666666668,-0.0602103564,3.06,10.24
2021-12-26,5.491666666666667,0.295564353,3.3,10.72
2021-12-27,6.306250000000002,0.35788092,1.51,10.86
2021-12-28,4.46,0.0323251727999999,2.08,10.42
2021-12-29,5.532916666666668,0.088772357,3.66,10.42
2021-12-30,5.2179166666666665,0.0423481672,3.94,8.53
2021-12-31,5.514583333333333,-0.150000006,2.44,9.9
