date,open_SO2,sate_SO2,"Manoharpur, Agra - UPPCB","Rohta, Agra - UPPCB","Sanjay Palace, Agra - UPPCB","Sector-3B Avas Vikas Colony, Agra - UPPCB","Shahjahan Garden, Agra - UPPCB","Shastripuram, Agra - UPPCB"
2021-06-30,4.155833333333334,0.409999996,8.6,5.07,5.07,6.99,5.07,2.83
2021-07-01,5.241666666666668,0.028737493,8.5,5.18,5.18,7.08,5.18,2.82
2021-07-02,8.428749999999999,-0.3171545068,8.58,4.93,4.93,7.27,4.93,2.88
2021-07-03,7.503333333333333,0.050113384,9.08,5.32,5.32,7.34,5.32,2.95
2021-07-04,11.702083333333333,0.0596985528,9.16,5.07,5.07,7.4,5.07,2.98
2021-07-05,9.29166666666667,-0.180000007,9.52,5.18,5.18,7.43,5.18,3.04
2021-07-06,6.982500000000001,0.045150071,9.6,5.39,5.39,7.69,5.39,2.98
2021-07-07,6.260000000000001,-0.199955538,10.15,5.27,5.27,7.77,5.27,3.02
2021-07-08,10.096666666666668,0.0470070301999999,9.89,4.94,4.94,7.77,4.94,3.11
2021-07-09,7.1604166666666655,0.439766556,5.58,5.55,5.55,7.71,5.55,3.22
2021-07-10,5.762083333333334,-0.1079918608,6.93,5.15,5.15,7.74,5.15,3.19
2021-07-11,6.406666666666666,-0.0645739801999999,3.42,5.26,5.26,7.86,5.26,3.32
2021-07-12,8.951666666666666,0.1491373042,3.65,5.04,5.04,7.84,5.04,3.42
2021-07-13,9.9475,0.0081646337999999,6.3,5.21,5.21,7.93,5.21,3.51
2021-07-14,8.924999999999999,0.0188195691999999,7.57,5.2,5.2,7.76,5.2,3.55
2021-07-15,8.961250000000001,0.479999989,4.75,5.19,5.19,7.7,5.19,3.14
2021-07-16,12.194583333333334,0.280000001,3.84,5.2,5.2,7.93,5.2,3.16
2021-07-17,10.555833333333332,0.042317152,3.89,5.52,5.52,8.28,5.52,3.19
2021-07-18,5.1554166666666665,0.0979363515999999,3.95,5.12,5.12,8.43,5.12,3.18
